order_id,customer_id,order_date,status
1,58,2024-12-31,Completed
2,29,2025-05-14,Completed
3,11,2025-04-10,Completed
4,69,2024-09-19,Completed
5,28,2025-02-23,Completed
6,71,2024-06-27,Refunded
7,83,2024-09-07,Cancelled
8,102,2024-10-18,Completed
9,60,2025-06-07,Cancelled
10,1,2025-04-07,Completed
11,34,2024-09-23,Refunded
12,103,2024-12-21,Refunded
13,64,2024-04-20,Completed
14,75,2025-03-14,Completed
15,55,2024-10-28,Cancelled
16,20,2024-10-17,Completed
17,108,2025-02-21,Refunded
18,93,2024-12-10,Refunded
19,120,2024-02-09,Completed
20,103,2024-06-06,Completed
21,35,2024-04-06,Completed
22,31,2025-02-04,Completed
23,30,2024-01-20,Completed
24,111,2024-04-20,Completed
25,67,2024-11-21,Completed
26,55,2025-01-13,Completed
27,117,2024-10-01,Completed
28,73,2025-04-14,Cancelled
29,110,2025-05-15,Completed
30,119,2024-03-12,Completed
31,10,2025-06-03,Refunded
32,44,2024-11-30,Completed
33,89,2024-12-12,Completed
34,98,2024-02-21,Completed
35,18,2024-12-04,Completed
36,39,2025-01-30,Completed
37,66,2024-11-12,Completed
38,96,2024-02-16,Completed
39,14,2024-10-12,Completed
40,73,2025-05-25,Completed
41,36,2025-01-29,Completed
42,26,2024-03-15,Refunded
43,62,2025-06-07,Completed
44,50,2025-06-06,Completed
45,77,2024-04-02,Completed
46,39,2025-03-12,Completed
47,99,2024-08-09,Completed
48,10,2024-11-19,Completed
49,104,2024-08-30,Completed
50,4,2025-03-02,Completed
51,89,2025-06-27,Completed
52,42,2025-03-09,Completed
53,47,2025-05-22,Refunded
54,3,2025-05-30,Completed
55,85,2024-02-19,Completed
56,20,2024-05-18,Completed
57,80,2025-01-28,Cancelled
58,88,2024-11-17,Refunded
59,102,2024-01-28,Completed
60,85,2024-02-21,Refunded
61,37,2024-10-10,Cancelled
62,89,2024-12-01,Completed
63,100,2024-04-01,Cancelled
64,39,2024-04-03,Completed
65,15,2024-03-11,Completed
66,107,2024-11-03,Completed
67,18,2024-01-05,Completed
68,72,2024-11-07,Completed
69,29,2024-09-16,Completed
70,16,2024-09-10,Completed
71,94,2025-01-05,Completed
72,18,2024-10-11,Refunded
73,81,2025-01-31,Refunded
74,84,2025-02-20,Cancelled
75,8,2025-05-16,Completed
76,21,2025-03-11,Cancelled
77,96,2024-10-09,Cancelled
78,61,2024-09-25,Completed
79,15,2024-05-08,Completed
80,120,2024-11-22,Refunded
81,32,2024-03-16,Completed
82,1,2025-05-22,Completed
83,111,2025-04-05,Completed
84,2,2024-03-06,Completed
85,67,2025-03-04,Completed
86,120,2024-03-04,Completed
87,70,2025-01-28,Completed
88,71,2024-02-17,Refunded
89,47,2024-09-23,Completed
90,16,2024-12-24,Completed
91,69,2025-02-01,Refunded
92,108,2024-08-16,Cancelled
93,11,2025-05-17,Refunded
94,106,2025-02-26,Completed
95,50,2024-04-23,Cancelled
96,65,2024-12-31,Refunded
97,20,2025-02-02,Completed
98,75,2024-06-30,Completed
99,22,2025-02-06,Completed
100,33,2025-05-04,Completed
101,87,2025-03-21,Completed
102,7,2025-02-19,Refunded
103,54,2024-12-11,Refunded
104,72,2024-05-27,Completed
105,16,2025-03-09,Cancelled
106,36,2024-07-17,Completed
107,42,2024-10-17,Cancelled
108,80,2024-06-20,Completed
109,118,2024-06-19,Completed
110,101,2024-03-26,Completed
111,23,2025-06-07,Completed
112,3,2024-03-21,Completed
113,7,2024-02-17,Completed
114,72,2025-05-25,Completed
115,19,2024-10-29,Refunded
116,28,2024-08-26,Completed
117,102,2025-02-05,Cancelled
118,105,2024-07-27,Refunded
119,101,2024-03-10,Completed
120,31,2025-02-01,Completed
121,75,2024-04-05,Completed
122,74,2024-10-28,Completed
123,23,2025-06-01,Cancelled
124,67,2025-05-25,Completed
125,64,2024-07-15,Completed
126,48,2025-03-01,Completed
127,91,2024-11-29,Cancelled
128,82,2024-09-18,Completed
129,64,2024-03-17,Completed
130,88,2024-07-24,Refunded
131,92,2024-12-21,Cancelled
132,69,2025-06-21,Refunded
133,33,2024-01-03,Cancelled
134,92,2025-01-26,Completed
135,87,2025-04-06,Cancelled
136,119,2025-06-02,Completed
137,18,2024-08-18,Completed
138,51,2024-03-05,Completed
139,111,2024-05-27,Refunded
140,62,2025-04-08,Completed
141,114,2025-04-23,Completed
142,2,2024-12-13,Completed
143,5,2024-03-07,Completed
144,96,2024-03-07,Completed
145,44,2024-09-17,Completed
146,63,2024-11-16,Completed
147,52,2024-01-18,Completed
148,49,2025-01-08,Completed
149,113,2024-10-23,Refunded
150,12,2024-01-07,Completed
151,93,2024-02-22,Completed
152,107,2024-09-04,Completed
153,79,2025-01-28,Completed
154,48,2025-03-25,Completed
155,20,2024-08-23,Completed
156,82,2024-06-09,Completed
157,57,2025-06-11,Completed
158,18,2024-09-06,Cancelled
159,44,2024-06-20,Refunded
160,116,2024-08-29,Completed
161,32,2024-01-07,Refunded
162,22,2024-06-13,Completed
163,82,2024-10-07,Cancelled
164,24,2025-05-15,Completed
165,111,2025-02-06,Cancelled
